timestamp,millis,sensor,nano,altitude,climb,pressure,altitude_raw,latitude,longitude,altitude_gps,vN,vE,groundSpeed,speed,bearing,glide,glideAngle,hAcc,vAcc,sAcc,pdop,hdop,vdop,gpsFix,numSat,groundDistance,flightMode,jumpNumber,gX,gY,gZ,rotX,rotY,rotZ,acc
20120427-120712.402,1335553632402,Alti,318473703490000,1577.9254465628194,-23.53321057301444,794.8499755859375,1604.266518247464,,,,,,,,,,,,,,,,,,,,Flight,2,3.999682664871216,-4.062551975250244,7.983348369598389,-0.18428805470466614,-0.24318468570709229,0.13732638955116272,9.525932312011719
20120427-120712.536,1335553632536,Alti,318473906890000,1574.6126598760054,-23.269697347259616,795.75,1595.1512272588166,,,,,,,,,,,,,,,,,,,,Flight,2,3.636388063430786,-3.5723214149475098,8.38152027130127,-0.1487860083580017,-0.22508788108825684,0.18412700295448303,9.769708633422852
20120427-120712.794,1335553632794,Alti,318474101928000,1571.5948032018032,-22.997790617148457,795.97998046875,1592.8233642075838,,,,,,,,,,,,,,,,,,,,Flight,2,4.249363422393799,-3.0509555339813232,8.298742294311523,-0.11001123487949371,-0.25479477643966675,0.20503312349319458,9.232200622558594
20120427-120713.16,1335553633016,Alti,318474305388000,1567.5395734343806,-22.88623898766738,797.6199951171875,1576.2389013470354,,,,,,,,,,,,,,,,,,,,Flight,2,5.249134540557861,-2.642904043197632,7.854616165161133,-0.06271705776453018,-0.3093910813331604,0.24981270730495453,9.004237174987793
20120427-120713.199,1335553633199,Alti,318474500365000,1564.5103196802638,-22.629984614431855,796.7999877929688,1584.5276777318072,,,,,,,,,,,,,,,,,,,,Flight,2,5.027595043182373,-2.4751029014587402,8.051905632019043,-0.01841522753238678,-0.29877763986587524,0.3679526448249817,10.002772331237793
20120427-120713.391,1335553633391,Alti,318474703460000,1562.318251286889,-22.200147043834612,795.6799926757813,1595.8599497773844,,,,,,,,,,,,,,,,,,,,Flight,2,4.887336730957031,-2.890040159225464,7.999814510345459,-0.017069563269615173,-0.30326640605926514,0.4380885064601898,9.493218421936035
20120427-120713.624,1335553633624,Alti,318474907592000,1558.663686693195,-22.043316708987124,798.1499633789063,1570.8855602812353,,,,,,,,,,,,,,,,,,,,Flight,2,5.284760475158691,-3.4895434379577637,7.491920471191406,-0.010523572564125061,-0.343558669090271,0.49320194125175476,9.372682571411133
20120427-120713.837,1335553633837,Alti,318475102172000,1555.1744456383583,-21.9002767327769,798.5999755859375,1566.3421343915477,,,,,,,,,,,,,,,,,,,,Flight,2,5.514083385467529,-2.8312125205993652,7.603438377380371,0.043824613094329834,-0.3324737846851349,0.536133348941803,7.324209690093994
20120427-120713.928,1335553633928,Alti,318475305144000,1550.7346909239147,-21.899313324307926,800.1399536132813,1550.809834379154,,,,,,,,,,,,,,,,,,,,Flight,2,5.32891845703125,-0.8295748829841614,8.194409370422363,0.1428019255399704,-0.2488919347524643,0.5988428592681885,4.516162872314453
20120427-120714.214,1335553634214,Alti,318475508697000,1546.168946928601,-21.918635072402356,800.75,1544.6635675069076,,,,,,,,,,,,,,,,,,,,Flight,2,5.966292858123779,-0.025297394022345543,7.786956787109375,0.22295738756656647,-0.23107583820819855,0.6604505777359009,4.6219635009765625
20120427-120714.404,1335553634404,Alti,318475703826000,1541.4848924614994,-21.991426598889344,801.6300048828125,1535.804123074316,,,,,,,,,,,,,,,,,,,,Flight,2,6.998247146606445,0.4149371385574341,6.861880779266357,0.3262057900428772,-0.2093895971775055,0.7449135184288025,4.53225564956665
20120427-120714.575,1335553634575,Alti,318475906737000,1538.1410413690899,-21.79145273397906,799.8499755859375,1553.7327171389106,,,,,,,,,,,,,,,,,,,,Flight,2,7.305707931518555,-0.34652939438819885,6.537654876708984,0.37029168009757996,-0.17224256694316864,0.8449580669403076,5.4357805252075195
